COMPANY_NUMBER,ACCOUNT_NUMBER,PRODUCT_COMBO_DETAIL,OFFER_BB_PACKAGE,OFFER_TV_PACKAGE,OFFER_RHP_PACKAGE,OFFER_DISCOUNT_CODE_A,OFFER_DISCOUNT_CODE_B,OFFER_TYPE,ONGOING_DISCOUNT,CAMP_DISCOUNT,CAMP_DURATION,DTV_Ongoing_Discount_Code,BB_Ongoing_Discount_Code,Offer_Priority,EXISTING_TV_PACKAGE,EXISTING_BB_PACKAGE,EXISTING_RHP_PACKAGE,DIGITAL_IND,SYSTEM_IND,Ext_BB_Camp,Ext_DTV_Camp,OFFER_OT_Credit,Generic1,Generic2,Generic3,Generic4,Generic5,Offer_Code1,Offer_Code2,Offer_Code3,Offer_Code4,Offer_Code5,Offer_Code6,Offer_Code7,IPTV_Package_Product_Codes,IPTV_Feature_Product_Codes,IPTV_ThemePack_Product_Codes,IPTV_Channels_Product_Codes,Internet_Package_Product_Codes,RHP_Package_Product_Codes,RHP_Feature_Product_Codes,SHM_Package_Product_Codes,SHM_Feature_Product_Codes,Internet_Hardware_Product_Codes,TV_Hardware_Product_Codes,RHP_Hardware_Product_Codes,SHM_Hardware_Product_Codes,IPTV_Hardware_Product_Codes,Promo_Category,Rogers_Advantage_EN,Rogers_Advantage_FR,TV_Installation_Code,Internet_Installation_Code,RHP_Installation_Code,SHM_Installation_Code
233,761415700,INT,,,,,,RECOMMENDED,,,,,,1,,WRKA,,OV,2,,,,,,,,,,,,,,,,,,,,HS_Ignite_500_30_Unltd_WY3B_OF,,,,,,,,,,,,,,,,
233,761415700,INT,,,,,,RECOMMENDED,,,,,,2,,WRKA,,OV,2,,,,,,,,,,,,,,,,,,,,HS_Ignite_500_30_Unltd_WY3B_OF,,,,,,,,,,,,,,,,
233,761415700,INT,,,,,,RECOMMENDED,,,,,,3,,WRKA,,OV,2,,,,,,,,,,,,,,,,,,,,HS_Ignite_500_30_Unltd_WY3B_OF,,,,,,,,,,,,,,,,
233,761415700,INT,,,,,,RECOMMENDED,,,,,,4,,WRKA,,OV,2,,,,,,,,,,,,,,,,,,,,HS_Ignite_500_30_Unltd_WY3B_OF,,,,,,,,,,,,,,,,
233,761415700,INT,,,,,,RECOMMENDED,,,,,,5,,WRKA,,OV,2,,,,,,,,,,,,,,,,,,,,HS_Ignite_500_30_Unltd_WY3B_OF,,,,,,,,,,,,,,,,
233,761415700,INT,,,,,,RECOMMENDED,,,,,,6,,WRKA,,DIG,3,,,,,,,,,,,,,,,,TT_Tupelo_500_WY3B_OF,,,,,,,,,,,,,,,,,,,,
233,761444301,INT+TV,,,,,,REGULAR,,,,,,1,QDPB,WRKB,,,1,,,,,,,,,T28,,,,,,,TT_Premier22_500_WY3B_OF,,,,,,,,,,,,,,,,,,,,
233,761507205,INT,,,,,,RECOMMENDED,,,,,,1,,WRKC,,,2,,,,,,,,,,,,,,,,,,,,HS_Ignite_500_30_Unltd_WY3B_OF,,,,,,,,,,,,,,,,
233,761507400,INT,,,,,,REGULAR,,,,,,1,,WRKB,,,2,,,,,,,,,KAU,,,,,,,,,,,HS_Ignite_500_30_Unltd_WY3B_OF,,,,,,,,,,,,,,,,
233,761507701,INT,,,,,,REGULAR,,,,,,1,,WRKA,,,2,,,,,,,,,T28,KDZ,,,,,,,,,,HS_Ignite_500_30_Unltd_WY3B_OF,,,,,,,,,,,,,,,,
233,761521801,INT,,,,,,REGULAR,,,,,,1,,WRKB,,,2,,,,,,,,,TAH,K4G,,,,,,,,,,HS_Ignite_50_10_Unltd_WY1Y_OF,,,,,,,,,,,,,,,,
233,761521704,INT,,,,,,REGULAR,,,,,,1,,WRKB,,,2,,,,,,,,,TAH,K2B,,,,,,,,,,HS_Ignite_50_10_Unltd_WY1Y_OF,,,,,,,,,,,,,,,,
2330001633304,253296990,INT,,,,,,REGULAR,,,,,,1,,WY3B,,,9,,,,,,,,,RK8G,,,T28,,,,TT_Tupelo_500_WY3B_OF,,,,,,,,,,,,,,,,,,,,
2330001633764,254084122,INT,,,,,,REGULAR,,,,,,1,,WY3A,,,8,,,,,,,,,RK8H,,,T29,,,,,,,,HS_Ignite_500_30_Unltd_WY3B_OF,,,,,,,,,,,,,,,,
2330001633306,254075948,INT+TV,,,,,,REGULAR,,,,,,1,,WY3A,,DIG,7,,,,,,,,,RK9P,RK9B,,T26,,,,TT_IGNITE_Flex10_500_WY3B_OF,,,,,,,,,,,,,,,,,,,,
2330001627219,254052251,INT+TV+RHP,,,,,,REGULAR,,,,,,1,,WY1B,,,7,,,,,,,,,RK8E,RK9D,,T27,,,,TT_Ignite_Flex20_Plus22_500_WY3B_OF_IHP,,,,,,,,,,,,,,,,,,,,
2330001627220,254045107,INT+TV,,,,,,REGULAR,,,,,,1,,WY3A,,DiG,7,,,,,,,,,RK8E,RK9D,,T26,,,,TT_Ignite_Flex20_Plus22_500_WY3B_OF,,,,,,,,,,,,,,,,,,,,
2330001633765,254084130,INT+TV+RHP,,,,,,REGULAR,,,,,,1,,WY3A,,,7,,,,,,,,,RK8E,RK9D,,T27,,,,TT_Ignite_Flex20_Plus22_500_WY3B_OF_IHP,,,,,,,,,,,,,,,,,,,,
2330001627221,254052236,INT+TV,,,,,,REGULAR,,,,,,1,,WY3A,,DIG,7,,,,,,,,,RK9P,RK9D,,,,,,TT_IGNITE_Flex10_500_WY3B_OF,,,,,,,,,,,,,,,,,,,,
2330001523530,254376536,INT+TV,,,,,,REGULAR,,,,,,1,,WGPS,,OV,9,,,,,,,,,RK8K,,,,,,,TT_Tupelo_1_5G_WGPV_OF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
